OccurrrenceUrn	TextPassage
urn:cite:hmt:venAsign.83	urn:cts:greekLit:tlg0012.tlg001.msA:1.373
urn:cite:hmt:venAsign.84	urn:cts:greekLit:tlg0012.tlg001.msA:1.374
urn:cite:hmt:venAsign.85	urn:cts:greekLit:tlg0012.tlg001.msA:1.375
urn:cite:hmt:venAsign.86	urn:cts:greekLit:tlg0012.tlg001.msA:1.376
urn:cite:hmt:venAsign.87	urn:cts:greekLit:tlg0012.tlg001.msA:1.377
urn:cite:hmt:venAsign.88	urn:cts:greekLit:tlg0012.tlg001.msA:1.378
urn:cite:hmt:venAsign.89	urn:cts:greekLit:tlg0012.tlg001.msA:1.379
urn:cite:hmt:venAsign.90	urn:cts:greekLit:tlg0012.tlg001.msA:1.372
urn:cite:hmt:venAsign.91	urn:cts:greekLit:tlg0012.tlg001.msA:1.373
urn:cite:hmt:venAsign.92	urn:cts:greekLit:tlg0012.tlg001.msA:1.374
urn:cite:hmt:venAsign.93	urn:cts:greekLit:tlg0012.tlg001.msA:1.375
urn:cite:hmt:venAsign.94	urn:cts:greekLit:tlg0012.tlg001.msA:1.376
urn:cite:hmt:venAsign.95	urn:cts:greekLit:tlg0012.tlg001.msA:1.377
urn:cite:hmt:venAsign.96	urn:cts:greekLit:tlg0012.tlg001.msA:1.378
urn:cite:hmt:venAsign.97	urn:cts:greekLit:tlg0012.tlg001.msA:1.379
urn:cite:hmt:venAsign.98	urn:cts:greekLit:tlg0012.tlg001.msA:1.380
urn:cite:hmt:venAsign.99	urn:cts:greekLit:tlg0012.tlg001.msA:1.381
urn:cite:hmt:venAsign.100	urn:cts:greekLit:tlg0012.tlg001.msA:1.382
urn:cite:hmt:venAsign.101	urn:cts:greekLit:tlg0012.tlg001.msA:1.383
urn:cite:hmt:venAsign.102	urn:cts:greekLit:tlg0012.tlg001.msA:1.384
urn:cite:hmt:venAsign.103	urn:cts:greekLit:tlg0012.tlg001.msA:1.385
urn:cite:hmt:venAsign.104	urn:cts:greekLit:tlg0012.tlg001.msA:1.386
urn:cite:hmt:venAsign.105	urn:cts:greekLit:tlg0012.tlg001.msA:1.387
urn:cite:hmt:venAsign.106	urn:cts:greekLit:tlg0012.tlg001.msA:1.388
urn:cite:hmt:venAsign.107	urn:cts:greekLit:tlg0012.tlg001.msA:1.389
urn:cite:hmt:venAsign.108	urn:cts:greekLit:tlg0012.tlg001.msA:1.390
urn:cite:hmt:venAsign.109	urn:cts:greekLit:tlg0012.tlg001.msA:1.391
urn:cite:hmt:venAsign.110	urn:cts:greekLit:tlg0012.tlg001.msA:1.392
urn:cite:hmt:venAsign.111	urn:cts:greekLit:tlg0012.tlg001.msA:1.393
