Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:1.62,"urn:cite:hmt:vaimg.VA013RN_0014@0.179,0.4388,0.344,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.63,"urn:cite:hmt:vaimg.VA013RN_0014@0.181,0.4591,0.352,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.64,"urn:cite:hmt:vaimg.VA013RN_0014@0.18,0.4793,0.359,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.65,"urn:cite:hmt:vaimg.VA013RN_0014@0.179,0.4989,0.383,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.66,"urn:cite:hmt:vaimg.VA013RN_0014@0.178,0.5184,0.356,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.67,"urn:cite:hmt:vaimg.VA013RN_0014@0.178,0.5372,0.343,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.68,"urn:cite:hmt:vaimg.VA013RN_0014@0.174,0.5545,0.349,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.69,"urn:cite:hmt:vaimg.VA013RN_0014@0.174,0.571,0.349,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.70,"urn:cite:hmt:vaimg.VA013RN_0014@0.175,0.5928,0.38,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.71,"urn:cite:hmt:vaimg.VA013RN_0014@0.175,0.6108,0.309,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:1.72,"urn:cite:hmt:vaimg.VA013RN_0014@0.174,0.6289,0.381,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.73,"urn:cite:hmt:vaimg.VA013RN_0014@0.173,0.6506,0.367,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:1.74,"urn:cite:hmt:vaimg.VA013RN_0014@0.171,0.6672,0.346,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:1.75,"urn:cite:hmt:vaimg.VA013RN_0014@0.167,0.689,0.361,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:1.76,"urn:cite:hmt:vaimg.VA013VN_0515@0.477,0.2164,0.342,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:1.77,"urn:cite:hmt:vaimg.VA013VN_0515@0.478,0.2367,0.328,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:1.78,"urn:cite:hmt:vaimg.VA013VN_0515@0.48,0.2539,0.336,0.027"
